id,url,label,
1,https://sso-v--uphold-com---cdn---auth.webflow.io/,FIN,
2,http://order78916.live/1/,CH,
3,https://1211-3.vercel.app/contact.html,PII,
4,https://postflaggrowthpros.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM,PII,
5,https://bossxpertrulesenforcement.vercel.app/decision&copyright,PII,
6,https://fortune-sordid-burglar-asdghjgthf.glitch.me/,,
7,https://order78916.live/2,CH,
8,https://ubnsbakn.com/credit-cards/shield-visa-credit-card.html/,CH,
9,https://kucoiinalogin.webflow.io/,CH,
10,https://1211-kihm.vercel.app/contact.html,PII,
11,https://trendedgeuserblock.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,PII,
12,https://trendedgeuserblock.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM.html,PII,
13,https://1211-rho.vercel.app/contact.html,PII,
14,https://bhagirathsinhrana378.github.io/Amazon_landing_page_clone,CH,
15,http://1336l999.com/,FIN,
16,https://conversionworksstopinfringement.vercel.app/ttu&g_ep=EgoyMDI1&MDNaNa4wIKXMDSoA,Die,
17,https://1211-4d29.vercel.app/contact.html,PII,
18,http://coinbase-verification.143-198-59-151.cprapid.com/signin,CH,
19,https://channelhub.info/831cd7dcax403c4deanb857b357j3c9408fd.html,CH,
20,http://leadmastersecuritypages.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM/,PII,
21,https://undianhadiah.erhinfo.com/njas,PII,
22,https://auth-trezsuite.webflow.io/,FIN,
23,https://1211-d2mx.vercel.app/contact.html,PII,
24,https://mediumaquamarine-curlew-836144.hostingersite.com/,CH,
25,https://bitly.cx/Pembatalan-PinjamanMitraBukalapak,CH,
26,https://1211fsaa.vercel.app/contact.html,PII,
27,https://leadmasteruserlocktool.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,PII,
28,https://ippleidauucae.top/jp/,CH,
29,https://ihppleidaccuid.top/jp/,CH,
30,https://brandarchitectcompliancecheck.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,PII,
31,https://wemj.beefreedesign.com/wemJ,CH,
32,https://auth--blockfi-login-sso.webflow.io/,CH,
33,https://pub-fd348ed3c31f4d648dcbcde624bd515a.r2.dev/index.html,,
34,https://tourinn.net/ch1617671617171716161/1671871716716/,,
35,https://pub-93ed2439cbff4be7841ea62e553de0c7.r2.dev/utility_base.html,,
36,https://leadstormsafety.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,PII,
37,https://takedownactiontooladexplore.vercel.app/ttu&g_ep=EgoyMDI1MDMyMy4wIKXMDSoA,PII,
38,https://contentdrivenpolicycheck.vercel.app/zL20=vMDFjs&sdentry=ttu&g_ep=EgoyMDI1MDM,PII,
39,http://www.haegc.cn/,FIN,
40,https://conversionworksstopinfringement.vercel.app/decision&copyright,,
41,https://channelhub.info/8fbfab1f0x74db421en9787ea68j58fefffd.html,CH,
42,https://witty-sedate-apogee-fghgjjkswr.glitch.me/,,
43,https://summer-dream-e88a.afan14140.workers.dev/,,
44,http://nodeharmony.net/,,
45,https://kooponbasss-pro-logz.godaddysites.com/,,
46,https://infractiondigitalpros-drab.vercel.app/zL20vMDFjcjI4entry=ttu&g_ep=EgoyMDI1MDM,,
47,https://tiktok-wholesalers.vip/,,
48,https://codedpqq1.vercel.app/contact.html,,
49,https://gtm.jul.mybluehost.me/,,
50,https://vxasoilixullingqsestqrqe.s3.us-west-004.backblazeb2.com/bell-webmail.html,CH,
51,https://ipfs.io/ipfs/bafybeidc45anu6buziecsz6rrxk7p2elepb3ktdnup44j6cqbhel7xd4vi/ski.html,CH,
52,http://1capbib0izz-vefn.vercel.app/metasp.html,PII,
53,https://lv.nn0.pp.ua/,Other,
54,http://sp-seach-fb-ecbx.vercel.app/hiagit.tok/jinda.html,PII,
55,https://dsaadvogados.adv.br/101/redirect.php/,Die,
56,http://dsaadvogados.adv.br/101/redirect.php,Die,
57,http://pub-6032ae392d27404886b29eb6e50c25de.r2.dev/index.html,FIN,
58,http://gbyarun.top/festival.gbyarun.top/1111/,Die,
59,https://ce06225.tw1.ru/sahrs/infospage.php,Die,
60,https://ce06225.tw1.ru/sahrs/paiement.php,Other,
61,https://ce06225.tw1.ru/sahrs/3dsec.php,FIN,
62,https://ce06225.tw1.ru/sahrs/3dsece.php,FIN,
63,https://findyourphone.org/lmPph/,Die,
64,https://portal--coinbasepro-samss-ako.webflow.io/,Die,
65,http://meatmeskeaxtenson.webflow.io/,Die,
66,https://a-mettamaxsk-logjiin94.godaddysites.com/,PII,
67,https://www.xn--nstagramsupport-6kc.com/challenge/4Vi3Rn8dRdFiHG11/index.php?id=2516889853&date=MjAgTmlzYW4gMjA6MjI=,CH,
68,https://xwith.pics/x.html,CH,
69,http://fb-merketplece-items-56445879.hstn.me/,Die,
70,https://www.emesssages.com/?urid=gHIkX-p0oe9ekh7aWh0Nmrw4AkHf1jbViOkgjmrhcOwjQlKo4FGA1oh60TC_sI1JUVApmbttY1zq52kHA5IYsrQiiujvZpbxTPIog2tkAqkzHfux5xrVUuY8WGNBukduyIkx2iFPJAMhC&rg=CUS,CH,
71,https://form.jotform.com/251101408876050,FIN,
72,https://secure-l--kucoin---cdn--s-auth.webflow.io/,Other,
73,https://sso--app-kucoin-u--cdn---auth.webflow.io/,Other,
74,https://sso--uphold-com-cdn--autth---u.webflow.io/,Other,
75,https://info---sso--ledger-web---auth.webflow.io/,Other,
76,https://engageedgeprivacy.vercel.app/decision&copyright,PII,
77,https://www.itczm.cn/,FIN,
78,https://codashopmlbb.merchats.com/?fbclid=IwY2xjawJy6A5leHRuA2FlbQIxMQABHjBsBJqu0p328d6sidaiS3afWZu3wRZKoZkQPHURfW8Vz9DDiqrRGNcYglIu_aem_SarXZkvVUtGKpHTgUQdwXg,CH,
79,https://pttgovtetr.top/i,PII,
80,https://channelhub.info/8df2691d5x2ca64faen80e6b1aajb226ba57.html,CH,
81,https://homebank-argenta-be.barbul.at/be,PII,
82,https://safelink.vn/unCWV,CH,
83,https://shishir01chauhan.github.io/task-6-Static-Website,Die,
84,http://www.fgteq.cn/,FIN,
85,http://y0uaietbpm.com/,PII,
86,https://meta-ads-manager-facebook-support-business-id100053523870.vercel.app/matell.html/,PII,
87,http://learn-trezor-auth-suite.webflow.io/,Other,
88,http://s2535tudyes.weebly.com/,CH,
89,https://www.appleautotransports.com/wp-content/cache/nortway/site/,Die,
90,http://crm.centralimo.pt/Tr/oAntraquEywUaFLw9LB4Q/,Die,
91,https://channelhub.info/80f69e679xa3104245n87d017cfjc9fdd557.html,CH,
92,https://bitcb-tlform.net/?u=a403a4&l=coinbase&r=2f3fdc15db,FIN,
93,https://app-67c00052c1ac180cd41638bc.closte.com/wp-content/uploads/2025/03/02/home/nkl-log.php,Die,
94,http://crm.centralimo.pt/Tr/xZtFqAPi6kW4aNXj50IDug/,Die,
95,https://hk-sz.com/,FIN,
96,https://channelhub.info/84f02b221xedea4e48n832ad4fej8a08aa09.html,CH,
97,https://365.qwe123-asd456-zxc789.365618.top/,Die,
98,https://interacs-trendy-site.webflow.io/,CH,
99,https://yrxdfd5d.cc/,Die,
100,https://timephoriaofficial.com/,CH,
101,https://g4j.0e0.myftpupload.com/NWVerifikaziontresenhalt/kraftzugang/ziontresenhalt/symptom/index.php/,CH,
102,https://interac-ca.manual-acceptance.cyou/get/1744935129248/bank/ca2.rbc/,Die,
103,http://www.wahstpap65.cc/,Die,
104,http://dn4na.get-news.shop/,Die,
105,https://pantner.ip-ddns.com/ee/1/login.php,Die,
