index,original_url,filename,inferred_url
0,https://ehbwwh.weebly.com/,url_0.html,
1,https://0-1-x.26215785.xyz/omf7c4f1,url_1.html,
2,https://share-eu1.hsforms.com/2xEXW_cYdRGaiFmHOG0Sunw2ewbij,url_2.html,
3,https://w3b2f-aff1n1ty.com/secure/page/index.php,url_3.html,
4,https://oline-tf-bank.com/,url_4.html,
5,https://allegrolokalnie.oferta-205855.shop/?id=N82A7BihmJ578jGCHJJ8gN4h6FOAbi,url_5.html,https://docs.google.com/presentation/d/e/2PACX-1vSHoIpgl6BloyLTQsoeuXC8MY74GM6OqH3nRv9f3WZ2zHQAXIIJme5TQv-YilvGRToLX566CRkm4sns/pub?start=false&loop=false&delayms=3000&slide=id.p&usp=embed_facebook
6,https://allegrolokalnie.pl-propozycje-pozostale-13.icu/aukcja/ponton-kolibri-km450d-z-kilem-kurierem-z-niemiec-ochrona-14-dni-428136,url_6.html,https://docs.google.com/presentation/d/e/2PACX-1vTP-aQfwGnGCslPuKoRJXfHyr2H5dma4Q13Xz2YpW3kYmExG8jR2vFiN52kinsGZogzNfHSJ17H1oO_/pub?start=false&amp;loop=false&amp;delayms=3000&usp=embed_facebook
7,https://reprogrammation-relais.com/,url_7.html,https://docs.google.com/presentation/d/e/2PACX-1vSHoIpgl6BloyLTQsoeuXC8MY74GM6OqH3nRv9f3WZ2zHQAXIIJme5TQv-YilvGRToLX566CRkm4sns/pub?start=false&amp;loop=false&amp;delayms=3000&amp;slide=id.p&usp=embed_facebook
8,https://reprogrammation-relais.com/pac/calcul.php,url_8.html,https://www.ionos.de/
9,https://dhilm.cn/?idtokenYAjslqWFNi=bomxxn/,url_9.html,
10,https://alopv.cn/rakusec/,url_10.html,
11,https://alopv.cn/rakusec,url_11.html,
12,https://rakun-sup.sbs/secure/,url_12.html,
13,https://rakun-sup.sbs/secure,url_13.html,
14,https://www.rakuten-sec.sayixvity.sbs/Login/,url_14.html,
15,https://www.rakuten-sec.sayixvity.sbs/Login,url_15.html,
16,http://allegrolokalnie.pll-firmowo867431.icu,url_16.html,
17,http://allegrolokalnie.oferta-5205282.cfd,url_17.html,
18,https://supply.digitalcases.net/app/io.html?si=mail%40yarboroughhouse.com,url_18.html,
19,http://allegrolokalnie.pl-039502914.cfd,url_19.html,
20,https://logistique-relais.com/,url_20.html,
21,https://logistique-relais.com/pac/calcul.php,url_21.html,
22,https://otovix-bio.com/RVLw,url_22.html,
