url,html_filename,label
http://www.teramill.com,raw_html_data_2\www.teramill.com.html,PII
http://www.ooguy.com,raw_html_data_2\www.ooguy.com.html,PII
http://www.komaru.today,raw_html_data_2\www.komaru.today.html,FIN
http://www.cjplogger.com,raw_html_data_2\www.cjplogger.com.html,FIN
http://www.erlegen.de,raw_html_data_2\www.erlegen.de.html,PII
https://auth-document-shared.datingg-voice.workers.dev/,raw_html_data_2\auth-document-shared.datingg-voice.workers.dev_.html,PII
http://www.b7a3a060b75c7dcba9c1078d4ead51f0dc.ws,raw_html_data_2\www.b7a3a060b75c7dcba9c1078d4ead51f0dc.ws.html,PII
http://198.98.58.123/,raw_html_data_2\198.98.58.123_.html,FIN
http://www.aresync.com,raw_html_data_2\www.aresync.com.html,FIN
http://www.jab.oss-ap-southeast-1.aliyuncs.com,raw_html_data_2\www.jab.oss-ap-southeast-1.aliyuncs.com.html,FIN
http://www.constructiongst.com,raw_html_data_2\www.constructiongst.com.html,FIN
http://www.l3a40b16a45b1120615b5d1cc655d7da4a.ws,raw_html_data_2\www.l3a40b16a45b1120615b5d1cc655d7da4a.ws.html,PII
http://www.stmfl.com,raw_html_data_2\www.stmfl.com.html,FIN
http://www.madpath.com,raw_html_data_2\www.madpath.com.html,FIN
http://www.mail-nepalarmy-mil-np-login-download.netlify.app,raw_html_data_2\www.mail-nepalarmy-mil-np-login-download.netlify.app.html,FIN
http://vinted-pl-gj32d.lanru.top/authorize/1662975258698217,raw_html_data_2\vinted-pl-gj32d.lanru.top_authorize_1662975258698217.html,FIN
http://www.play.stream.vidzi.tv,raw_html_data_2\www.play.stream.vidzi.tv.html,FIN
http://www.mw.lt,raw_html_data_2\www.mw.lt.html,FIN
https://storageapi.fleek.co/0c4f1bc1-9bd4-4d7b-89b5-a58736a465bd-bucket/customindex.html,raw_html_data_2\storageapi.fleek.co_0c4f1bc1-9bd4-4d7b-89b5-a58736a465bd-bucket_customindex.html.html,PII
https://s.id/tanaktualisierung,raw_html_data_2\s.id_tanaktualisierung.html,PII
https://www.faewood.com,raw_html_data_2\www.faewood.com.html,PII
http://www.tradeadspace.info,raw_html_data_2\www.tradeadspace.info.html,FIN
http://dorainsurance.com/auth.php?md=rougtfxanjhlhnskbpqm&rougtfxanjhlhnskbpqm,raw_html_data_2\dorainsurance.com_auth.phpmd_rougtfxanjhlhnskbpqm_rougtfxanjhlhnskbpqm.html,FIN
http://www.multipoolminer.io,raw_html_data_2\www.multipoolminer.io.html,FIN
https://tiny.one/ing9488,raw_html_data_2\tiny.one_ing9488.html,FIN
https://roundcube-updatealx.web.app/,raw_html_data_2\roundcube-updatealx.web.app_.html,FIN
https://docs.google.com/forms/d/1casphevkfdaz2okqj70wdai3pdwwg1weh_rpk9v0z3a/viewform,raw_html_data_2\docs.google.com_forms_d_1casphevkfdaz2okqj70wdai3pdwwg1weh_rpk9v0z3a_viewform.html,PII
https://vistory.com/wordpress/wp-content/plugins/f30d43ea1d474f2cbb0d9e5611b16702/y/mm/mmd/sbbch/7wa-taboun/,raw_html_data_2\vistory.com_wordpress_wp-content_plugins_f30d43ea1d474f2cbb0d9e5611b16702_y_mm_mmd_sbbch_7wa-taboun_.html,FIN
http://www.dcpan.blocktrail.com,raw_html_data_2\www.dcpan.blocktrail.com.html,FIN
https://www.info-saiisosn-cards.txjmxfa.cn/web/sign,raw_html_data_2\www.info-saiisosn-cards.txjmxfa.cn_web_sign.html,FIN
http://www.clinicafresa20.com,raw_html_data_2\www.clinicafresa20.com.html,FIN
https://is.gd/bhb74h,raw_html_data_2\is.gd_bhb74h.html,PII
http://www.keliweb.it,raw_html_data_2\www.keliweb.it.html,FIN
https://poscaro.firebaseapp.com/,raw_html_data_2\poscaro.firebaseapp.com_.html,FIN
https://s3.ap-southeast-1.wasabisys.com/mailbusiness/appsuite/tlyappioox/mailfolderdefault9/inbox.html#redacted@abuse.ionos.com,raw_html_data_2\s3.ap-southeast-1.wasabisys.com_mailbusiness_appsuite_tlyappioox_mailfolderdefault9_inbox.html.html,FIN
